Date,Cancelled
1996-06-23,0.01373437714599643
1996-06-24,0.03770977295162883
1996-06-25,0.021136498320932378
1996-06-26,0.019161124646078883
1996-06-27,0.01618314584566805
1996-06-28,0.010171271080779578
1996-06-29,0.012504491555874955
1996-06-30,0.015516649502231377
1996-07-01,0.020914172969417954
1996-07-02,0.017105263157894738
1996-07-03,0.016084377059986815
1996-07-04,0.008640691255300424
1996-07-05,0.008087116662663143
1996-07-06,0.00794760468025609
1996-07-07,0.006730306984410411
1996-07-08,0.0291351529102269
1996-07-09,0.027160331448112588
1996-07-10,0.01691457154139792
1996-07-11,0.01669953977646285
1996-07-12,0.029589292743734417
1996-07-13,0.021134833070640492
1996-07-14,0.016374349136749795
1996-07-15,0.02470758312524642
1996-07-16,0.01545137747386416
1996-07-17,0.033144811258713665
